Provincia;Distrito;Partido;Formula;votos
CABA;Comuna1;ALIANZA CAMBIEMOS;MACRI, MAURICIO - MICHETTI, MARTA GABRIELA;49164
CABA;Comuna1;ALIANZA CAMBIEMOS;CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO;4431
CABA;Comuna1;ALIANZA CAMBIEMOS;SANZ, ERNESTO RICARDO - LLACH, LUCAS;3676
CABA;Comuna1;ALIANZA FRENTE PARA LA VICTORIA;SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO;28511
CABA;Comuna1;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO;11398
CABA;Comuna1;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA;1900
CABA;Comuna1;ALIANZA PROGRESISTAS;STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL;5843
CABA;Comuna1;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS;2658
CABA;Comuna1;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;DEL CA¥O, NICOLAS - BREGMAN, MYRIAM TERESA;2137
CABA;Comuna1;ALIANZA COMPROMISO FEDERAL;RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA;1419
CABA;Comuna1;ALIANZA FRENTE POPULAR;DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD;695
CABA;Comuna1;MOVIMIENTO AL SOCIALISMO;CASTA¥EIRA, MANUELA JIMENA - AYALA, JORGE LUIS;679
CABA;Comuna1;MST - NUEVA IZQUIERDA;BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA;676
CABA;Comuna1;PARTIDO POPULAR;YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN;527
CABA;Comuna1;MOVIMIENTO DE ACCION VECINAL;ALBARRACIN, RAUL HUMBERTO - DIB, GASTON;116
CABA;Comuna2;ALIANZA CAMBIEMOS;MACRI, MAURICIO - MICHETTI, MARTA GABRIELA;57433
CABA;Comuna2;ALIANZA CAMBIEMOS;CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO;5145
CABA;Comuna2;ALIANZA CAMBIEMOS;SANZ, ERNESTO RICARDO - LLACH, LUCAS;4532
CABA;Comuna2;ALIANZA FRENTE PARA LA VICTORIA;SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO;13337
CABA;Comuna2;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO;7140
CABA;Comuna2;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA;1096
CABA;Comuna2;ALIANZA PROGRESISTAS;STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL;5895
CABA;Comuna2;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS;1632
CABA;Comuna2;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;DEL CA¥O, NICOLAS - BREGMAN, MYRIAM TERESA;1296
CABA;Comuna2;ALIANZA COMPROMISO FEDERAL;RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA;702
CABA;Comuna2;ALIANZA FRENTE POPULAR;DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD;368
CABA;Comuna2;MOVIMIENTO AL SOCIALISMO;CASTA¥EIRA, MANUELA JIMENA - AYALA, JORGE LUIS;261
CABA;Comuna2;MST - NUEVA IZQUIERDA;BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA;321
CABA;Comuna2;PARTIDO POPULAR;YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN;141
CABA;Comuna2;MOVIMIENTO DE ACCION VECINAL;ALBARRACIN, RAUL HUMBERTO - DIB, GASTON;51
CABA;Comuna3;ALIANZA CAMBIEMOS;MACRI, MAURICIO - MICHETTI, MARTA GABRIELA;40752
CABA;Comuna3;ALIANZA CAMBIEMOS;CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO;3962
CABA;Comuna3;ALIANZA CAMBIEMOS;SANZ, ERNESTO RICARDO - LLACH, LUCAS;3469
CABA;Comuna3;ALIANZA FRENTE PARA LA VICTORIA;SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO;28501
CABA;Comuna3;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO;13616
CABA;Comuna3;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA;2270
CABA;Comuna3;ALIANZA PROGRESISTAS;STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL;6616
CABA;Comuna3;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS;3033
CABA;Comuna3;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;DEL CA¥O, NICOLAS - BREGMAN, MYRIAM TERESA;2525
CABA;Comuna3;ALIANZA COMPROMISO FEDERAL;RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA;1341
CABA;Comuna3;ALIANZA FRENTE POPULAR;DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD;712
CABA;Comuna3;MOVIMIENTO AL SOCIALISMO;CASTA¥EIRA, MANUELA JIMENA - AYALA, JORGE LUIS;688
CABA;Comuna3;MST - NUEVA IZQUIERDA;BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA;717
CABA;Comuna3;PARTIDO POPULAR;YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN;274
CABA;Comuna3;MOVIMIENTO DE ACCION VECINAL;ALBARRACIN, RAUL HUMBERTO - DIB, GASTON;121
CABA;Comuna4;ALIANZA CAMBIEMOS;MACRI, MAURICIO - MICHETTI, MARTA GABRIELA;45166
CABA;Comuna4;ALIANZA CAMBIEMOS;CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO;3741
CABA;Comuna4;ALIANZA CAMBIEMOS;SANZ, ERNESTO RICARDO - LLACH, LUCAS;2868
CABA;Comuna4;ALIANZA FRENTE PARA LA VICTORIA;SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO;38481
CABA;Comuna4;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO;15658
CABA;Comuna4;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA;2366
CABA;Comuna4;ALIANZA PROGRESISTAS;STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL;5745
CABA;Comuna4;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS;3191
CABA;Comuna4;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;DEL CA¥O, NICOLAS - BREGMAN, MYRIAM TERESA;2603
CABA;Comuna4;ALIANZA COMPROMISO FEDERAL;RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA;1756
CABA;Comuna4;ALIANZA FRENTE POPULAR;DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD;841
CABA;Comuna4;MOVIMIENTO AL SOCIALISMO;CASTA¥EIRA, MANUELA JIMENA - AYALA, JORGE LUIS;794
CABA;Comuna4;MST - NUEVA IZQUIERDA;BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA;802
CABA;Comuna4;PARTIDO POPULAR;YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN;355
CABA;Comuna4;MOVIMIENTO DE ACCION VECINAL;ALBARRACIN, RAUL HUMBERTO - DIB, GASTON;243
CABA;Comuna5;ALIANZA CAMBIEMOS;MACRI, MAURICIO - MICHETTI, MARTA GABRIELA;41171
CABA;Comuna5;ALIANZA CAMBIEMOS;CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO;4367
CABA;Comuna5;ALIANZA CAMBIEMOS;SANZ, ERNESTO RICARDO - LLACH, LUCAS;4079
CABA;Comuna5;ALIANZA FRENTE PARA LA VICTORIA;SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO;29016
CABA;Comuna5;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO;13546
CABA;Comuna5;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA;2175
CABA;Comuna5;ALIANZA PROGRESISTAS;STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL;9041
CABA;Comuna5;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS;3394
CABA;Comuna5;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;DEL CA¥O, NICOLAS - BREGMAN, MYRIAM TERESA;3016
CABA;Comuna5;ALIANZA COMPROMISO FEDERAL;RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA;1425
CABA;Comuna5;ALIANZA FRENTE POPULAR;DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD;847
CABA;Comuna5;MOVIMIENTO AL SOCIALISMO;CASTA¥EIRA, MANUELA JIMENA - AYALA, JORGE LUIS;730
CABA;Comuna5;MST - NUEVA IZQUIERDA;BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA;813
CABA;Comuna5;PARTIDO POPULAR;YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN;229
CABA;Comuna5;MOVIMIENTO DE ACCION VECINAL;ALBARRACIN, RAUL HUMBERTO - DIB, GASTON;112
CABA;Comuna6;ALIANZA CAMBIEMOS;MACRI, MAURICIO - MICHETTI, MARTA GABRIELA;48302
CABA;Comuna6;ALIANZA CAMBIEMOS;CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO;5133
CABA;Comuna6;ALIANZA CAMBIEMOS;SANZ, ERNESTO RICARDO - LLACH, LUCAS;4886
CABA;Comuna6;ALIANZA FRENTE PARA LA VICTORIA;SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO;25276
CABA;Comuna6;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO;13360
CABA;Comuna6;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA;1814
CABA;Comuna6;ALIANZA PROGRESISTAS;STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL;10530
CABA;Comuna6;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS;3269
CABA;Comuna6;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;DEL CA¥O, NICOLAS - BREGMAN, MYRIAM TERESA;2786
CABA;Comuna6;ALIANZA COMPROMISO FEDERAL;RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA;1184
CABA;Comuna6;ALIANZA FRENTE POPULAR;DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD;896
CABA;Comuna6;MOVIMIENTO AL SOCIALISMO;CASTA¥EIRA, MANUELA JIMENA - AYALA, JORGE LUIS;653
CABA;Comuna6;MST - NUEVA IZQUIERDA;BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA;798
CABA;Comuna6;PARTIDO POPULAR;YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN;171
CABA;Comuna6;MOVIMIENTO DE ACCION VECINAL;ALBARRACIN, RAUL HUMBERTO - DIB, GASTON;88
CABA;Comuna7;ALIANZA CAMBIEMOS;MACRI, MAURICIO - MICHETTI, MARTA GABRIELA;46067
CABA;Comuna7;ALIANZA CAMBIEMOS;CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO;4605
CABA;Comuna7;ALIANZA CAMBIEMOS;SANZ, ERNESTO RICARDO - LLACH, LUCAS;3854
CABA;Comuna7;ALIANZA FRENTE PARA LA VICTORIA;SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO;31198
CABA;Comuna7;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO;16882
CABA;Comuna7;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA;2301
CABA;Comuna7;ALIANZA PROGRESISTAS;STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL;8476
CABA;Comuna7;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS;3299
CABA;Comuna7;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;DEL CA¥O, NICOLAS - BREGMAN, MYRIAM TERESA;2741
CABA;Comuna7;ALIANZA COMPROMISO FEDERAL;RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA;1576
CABA;Comuna7;ALIANZA FRENTE POPULAR;DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD;737
CABA;Comuna7;MOVIMIENTO AL SOCIALISMO;CASTA¥EIRA, MANUELA JIMENA - AYALA, JORGE LUIS;708
CABA;Comuna7;MST - NUEVA IZQUIERDA;BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA;767
CABA;Comuna7;PARTIDO POPULAR;YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN;392
CABA;Comuna7;MOVIMIENTO DE ACCION VECINAL;ALBARRACIN, RAUL HUMBERTO - DIB, GASTON;119
CABA;Comuna8;ALIANZA CAMBIEMOS;MACRI, MAURICIO - MICHETTI, MARTA GABRIELA;30432
CABA;Comuna8;ALIANZA CAMBIEMOS;CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO;2282
CABA;Comuna8;ALIANZA CAMBIEMOS;SANZ, ERNESTO RICARDO - LLACH, LUCAS;1490
CABA;Comuna8;ALIANZA FRENTE PARA LA VICTORIA;SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO;33106
CABA;Comuna8;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO;15374
CABA;Comuna8;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA;2008
CABA;Comuna8;ALIANZA PROGRESISTAS;STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL;3231
CABA;Comuna8;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS;1983
CABA;Comuna8;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;DEL CA¥O, NICOLAS - BREGMAN, MYRIAM TERESA;1496
CABA;Comuna8;ALIANZA COMPROMISO FEDERAL;RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA;1489
CABA;Comuna8;ALIANZA FRENTE POPULAR;DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD;541
CABA;Comuna8;MOVIMIENTO AL SOCIALISMO;CASTA¥EIRA, MANUELA JIMENA - AYALA, JORGE LUIS;548
CABA;Comuna8;MST - NUEVA IZQUIERDA;BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA;452
CABA;Comuna8;PARTIDO POPULAR;YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN;275
CABA;Comuna8;MOVIMIENTO DE ACCION VECINAL;ALBARRACIN, RAUL HUMBERTO - DIB, GASTON;135
CABA;Comuna9;ALIANZA CAMBIEMOS;MACRI, MAURICIO - MICHETTI, MARTA GABRIELA;37606
CABA;Comuna9;ALIANZA CAMBIEMOS;CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO;3516
CABA;Comuna9;ALIANZA CAMBIEMOS;SANZ, ERNESTO RICARDO - LLACH, LUCAS;2433
CABA;Comuna9;ALIANZA FRENTE PARA LA VICTORIA;SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO;29464
CABA;Comuna9;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO;17554
CABA;Comuna9;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA;2218
CABA;Comuna9;ALIANZA PROGRESISTAS;STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL;6125
CABA;Comuna9;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS;2690
CABA;Comuna9;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;DEL CA¥O, NICOLAS - BREGMAN, MYRIAM TERESA;2085
CABA;Comuna9;ALIANZA COMPROMISO FEDERAL;RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA;1888
CABA;Comuna9;ALIANZA FRENTE POPULAR;DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD;455
CABA;Comuna9;MOVIMIENTO AL SOCIALISMO;CASTA¥EIRA, MANUELA JIMENA - AYALA, JORGE LUIS;601
CABA;Comuna9;MST - NUEVA IZQUIERDA;BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA;668
CABA;Comuna9;PARTIDO POPULAR;YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN;248
CABA;Comuna9;MOVIMIENTO DE ACCION VECINAL;ALBARRACIN, RAUL HUMBERTO - DIB, GASTON;120
CABA;Comuna10;ALIANZA CAMBIEMOS;MACRI, MAURICIO - MICHETTI, MARTA GABRIELA;40225
CABA;Comuna10;ALIANZA CAMBIEMOS;CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO;4116
CABA;Comuna10;ALIANZA CAMBIEMOS;SANZ, ERNESTO RICARDO - LLACH, LUCAS;3392
CABA;Comuna10;ALIANZA FRENTE PARA LA VICTORIA;SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO;26042
CABA;Comuna10;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO;16151
